g_total,g_hinge,g_l1,d
"tf.Tensor(1.089826, shape=(), dtype=float32)","tf.Tensor(-0.0014895046, shape=(), dtype=float32)","tf.Tensor(1.0913155, shape=(), dtype=float32)","tf.Tensor(0.9998801, shape=(), dtype=float32)"
"tf.Tensor(1.0899581, shape=(), dtype=float32)","tf.Tensor(-0.0012506066, shape=(), dtype=float32)","tf.Tensor(1.0912087, shape=(), dtype=float32)","tf.Tensor(0.99977, shape=(), dtype=float32)"
"tf.Tensor(1.0896014, shape=(), dtype=float32)","tf.Tensor(-0.0015002239, shape=(), dtype=float32)","tf.Tensor(1.0911016, shape=(), dtype=float32)","tf.Tensor(0.9999025, shape=(), dtype=float32)"
"tf.Tensor(1.0894184, shape=(), dtype=float32)","tf.Tensor(-0.0015750501, shape=(), dtype=float32)","tf.Tensor(1.0909934, shape=(), dtype=float32)","tf.Tensor(0.9999466, shape=(), dtype=float32)"
"tf.Tensor(1.0896883, shape=(), dtype=float32)","tf.Tensor(-0.0011966652, shape=(), dtype=float32)","tf.Tensor(1.0908849, shape=(), dtype=float32)","tf.Tensor(0.999763, shape=(), dtype=float32)"
"tf.Tensor(1.0893074, shape=(), dtype=float32)","tf.Tensor(-0.0014684293, shape=(), dtype=float32)","tf.Tensor(1.0907758, shape=(), dtype=float32)","tf.Tensor(0.9999039, shape=(), dtype=float32)"
"tf.Tensor(1.0890452, shape=(), dtype=float32)","tf.Tensor(-0.0016206764, shape=(), dtype=float32)","tf.Tensor(1.0906658, shape=(), dtype=float32)","tf.Tensor(0.9999846, shape=(), dtype=float32)"
"tf.Tensor(1.0890812, shape=(), dtype=float32)","tf.Tensor(-0.0014739655, shape=(), dtype=float32)","tf.Tensor(1.0905552, shape=(), dtype=float32)","tf.Tensor(0.9999151, shape=(), dtype=float32)"
"tf.Tensor(1.0893583, shape=(), dtype=float32)","tf.Tensor(-0.0010851349, shape=(), dtype=float32)","tf.Tensor(1.0904435, shape=(), dtype=float32)","tf.Tensor(0.9997243, shape=(), dtype=float32)"
"tf.Tensor(1.0887146, shape=(), dtype=float32)","tf.Tensor(-0.0016174484, shape=(), dtype=float32)","tf.Tensor(1.090332, shape=(), dtype=float32)","tf.Tensor(0.9999939, shape=(), dtype=float32)"
"tf.Tensor(1.088899, shape=(), dtype=float32)","tf.Tensor(-0.0013199231, shape=(), dtype=float32)","tf.Tensor(1.0902189, shape=(), dtype=float32)","tf.Tensor(0.9998486, shape=(), dtype=float32)"
"tf.Tensor(1.0886135, shape=(), dtype=float32)","tf.Tensor(-0.0014923117, shape=(), dtype=float32)","tf.Tensor(1.0901058, shape=(), dtype=float32)","tf.Tensor(0.99993783, shape=(), dtype=float32)"
"tf.Tensor(1.0887595, shape=(), dtype=float32)","tf.Tensor(-0.0012328372, shape=(), dtype=float32)","tf.Tensor(1.0899924, shape=(), dtype=float32)","tf.Tensor(0.9998114, shape=(), dtype=float32)"
"tf.Tensor(1.0883423, shape=(), dtype=float32)","tf.Tensor(-0.0015355853, shape=(), dtype=float32)","tf.Tensor(1.0898778, shape=(), dtype=float32)","tf.Tensor(0.9999657, shape=(), dtype=float32)"
"tf.Tensor(1.0883296, shape=(), dtype=float32)","tf.Tensor(-0.0014336049, shape=(), dtype=float32)","tf.Tensor(1.0897632, shape=(), dtype=float32)","tf.Tensor(0.9999181, shape=(), dtype=float32)"
"tf.Tensor(1.0880803, shape=(), dtype=float32)","tf.Tensor(-0.0015677209, shape=(), dtype=float32)","tf.Tensor(1.089648, shape=(), dtype=float32)","tf.Tensor(0.9999887, shape=(), dtype=float32)"
"tf.Tensor(1.0880011, shape=(), dtype=float32)","tf.Tensor(-0.001531511, shape=(), dtype=float32)","tf.Tensor(1.0895326, shape=(), dtype=float32)","tf.Tensor(0.9999745, shape=(), dtype=float32)"
"tf.Tensor(1.0879431, shape=(), dtype=float32)","tf.Tensor(-0.0014732688, shape=(), dtype=float32)","tf.Tensor(1.0894164, shape=(), dtype=float32)","tf.Tensor(0.9999497, shape=(), dtype=float32)"
"tf.Tensor(1.0878495, shape=(), dtype=float32)","tf.Tensor(-0.0014507088, shape=(), dtype=float32)","tf.Tensor(1.0893002, shape=(), dtype=float32)","tf.Tensor(0.99994314, shape=(), dtype=float32)"
"tf.Tensor(1.0876666, shape=(), dtype=float32)","tf.Tensor(-0.0015165929, shape=(), dtype=float32)","tf.Tensor(1.0891832, shape=(), dtype=float32)","tf.Tensor(0.9999814, shape=(), dtype=float32)"
"tf.Tensor(1.0877063, shape=(), dtype=float32)","tf.Tensor(-0.0013599186, shape=(), dtype=float32)","tf.Tensor(1.0890663, shape=(), dtype=float32)","tf.Tensor(0.9999086, shape=(), dtype=float32)"
"tf.Tensor(1.0877638, shape=(), dtype=float32)","tf.Tensor(-0.0011851386, shape=(), dtype=float32)","tf.Tensor(1.088949, shape=(), dtype=float32)","tf.Tensor(0.999827, shape=(), dtype=float32)"
"tf.Tensor(1.0873744, shape=(), dtype=float32)","tf.Tensor(-0.0014569422, shape=(), dtype=float32)","tf.Tensor(1.0888314, shape=(), dtype=float32)","tf.Tensor(0.99996877, shape=(), dtype=float32)"
"tf.Tensor(1.0874428, shape=(), dtype=float32)","tf.Tensor(-0.0012696977, shape=(), dtype=float32)","tf.Tensor(1.0887125, shape=(), dtype=float32)","tf.Tensor(0.9998807, shape=(), dtype=float32)"
"tf.Tensor(1.0872262, shape=(), dtype=float32)","tf.Tensor(-0.0013671219, shape=(), dtype=float32)","tf.Tensor(1.0885932, shape=(), dtype=float32)","tf.Tensor(0.99993455, shape=(), dtype=float32)"
"tf.Tensor(1.0872058, shape=(), dtype=float32)","tf.Tensor(-0.0012675787, shape=(), dtype=float32)","tf.Tensor(1.0884733, shape=(), dtype=float32)","tf.Tensor(0.9998894, shape=(), dtype=float32)"
"tf.Tensor(1.0871859, shape=(), dtype=float32)","tf.Tensor(-0.001166153, shape=(), dtype=float32)","tf.Tensor(1.088352, shape=(), dtype=float32)","tf.Tensor(0.9998426, shape=(), dtype=float32)"
"tf.Tensor(1.0869654, shape=(), dtype=float32)","tf.Tensor(-0.0012647135, shape=(), dtype=float32)","tf.Tensor(1.0882301, shape=(), dtype=float32)","tf.Tensor(0.99989533, shape=(), dtype=float32)"
"tf.Tensor(1.0867841, shape=(), dtype=float32)","tf.Tensor(-0.0013233456, shape=(), dtype=float32)","tf.Tensor(1.0881075, shape=(), dtype=float32)","tf.Tensor(0.9999274, shape=(), dtype=float32)"
"tf.Tensor(1.0865763, shape=(), dtype=float32)","tf.Tensor(-0.0014076105, shape=(), dtype=float32)","tf.Tensor(1.087984, shape=(), dtype=float32)","tf.Tensor(0.99997175, shape=(), dtype=float32)"
"tf.Tensor(1.0868062, shape=(), dtype=float32)","tf.Tensor(-0.0010534092, shape=(), dtype=float32)","tf.Tensor(1.0878596, shape=(), dtype=float32)","tf.Tensor(0.9997963, shape=(), dtype=float32)"
"tf.Tensor(1.0864702, shape=(), dtype=float32)","tf.Tensor(-0.0012640259, shape=(), dtype=float32)","tf.Tensor(1.0877342, shape=(), dtype=float32)","tf.Tensor(0.9999031, shape=(), dtype=float32)"
"tf.Tensor(1.0864975, shape=(), dtype=float32)","tf.Tensor(-0.0011106716, shape=(), dtype=float32)","tf.Tensor(1.0876082, shape=(), dtype=float32)","tf.Tensor(0.9998277, shape=(), dtype=float32)"
"tf.Tensor(1.086081, shape=(), dtype=float32)","tf.Tensor(-0.0014005098, shape=(), dtype=float32)","tf.Tensor(1.0874815, shape=(), dtype=float32)","tf.Tensor(0.9999735, shape=(), dtype=float32)"
"tf.Tensor(1.0861863, shape=(), dtype=float32)","tf.Tensor(-0.0011669175, shape=(), dtype=float32)","tf.Tensor(1.0873532, shape=(), dtype=float32)","tf.Tensor(0.9998574, shape=(), dtype=float32)"
"tf.Tensor(1.0858868, shape=(), dtype=float32)","tf.Tensor(-0.0013381556, shape=(), dtype=float32)","tf.Tensor(1.087225, shape=(), dtype=float32)","tf.Tensor(0.9999436, shape=(), dtype=float32)"
"tf.Tensor(1.085712, shape=(), dtype=float32)","tf.Tensor(-0.0013833058, shape=(), dtype=float32)","tf.Tensor(1.0870953, shape=(), dtype=float32)","tf.Tensor(0.99996674, shape=(), dtype=float32)"
"tf.Tensor(1.0855507, shape=(), dtype=float32)","tf.Tensor(-0.0014142074, shape=(), dtype=float32)","tf.Tensor(1.0869648, shape=(), dtype=float32)","tf.Tensor(0.9999826, shape=(), dtype=float32)"
"tf.Tensor(1.0855713, shape=(), dtype=float32)","tf.Tensor(-0.0012617927, shape=(), dtype=float32)","tf.Tensor(1.0868331, shape=(), dtype=float32)","tf.Tensor(0.9999069, shape=(), dtype=float32)"
"tf.Tensor(1.0853482, shape=(), dtype=float32)","tf.Tensor(-0.0013525181, shape=(), dtype=float32)","tf.Tensor(1.0867008, shape=(), dtype=float32)","tf.Tensor(0.99995255, shape=(), dtype=float32)"
"tf.Tensor(1.0852227, shape=(), dtype=float32)","tf.Tensor(-0.0013446874, shape=(), dtype=float32)","tf.Tensor(1.0865674, shape=(), dtype=float32)","tf.Tensor(0.999949, shape=(), dtype=float32)"
"tf.Tensor(1.0851738, shape=(), dtype=float32)","tf.Tensor(-0.0012592775, shape=(), dtype=float32)","tf.Tensor(1.0864332, shape=(), dtype=float32)","tf.Tensor(0.99990654, shape=(), dtype=float32)"
"tf.Tensor(1.0849141, shape=(), dtype=float32)","tf.Tensor(-0.0013839583, shape=(), dtype=float32)","tf.Tensor(1.086298, shape=(), dtype=float32)","tf.Tensor(0.99996907, shape=(), dtype=float32)"
"tf.Tensor(1.0848172, shape=(), dtype=float32)","tf.Tensor(-0.0013444268, shape=(), dtype=float32)","tf.Tensor(1.0861616, shape=(), dtype=float32)","tf.Tensor(0.9999497, shape=(), dtype=float32)"
"tf.Tensor(1.0846224, shape=(), dtype=float32)","tf.Tensor(-0.0014018468, shape=(), dtype=float32)","tf.Tensor(1.0860243, shape=(), dtype=float32)","tf.Tensor(0.9999785, shape=(), dtype=float32)"
"tf.Tensor(1.0846598, shape=(), dtype=float32)","tf.Tensor(-0.001226153, shape=(), dtype=float32)","tf.Tensor(1.085886, shape=(), dtype=float32)","tf.Tensor(0.9998909, shape=(), dtype=float32)"
"tf.Tensor(1.0848364, shape=(), dtype=float32)","tf.Tensor(-0.000910166, shape=(), dtype=float32)","tf.Tensor(1.0857465, shape=(), dtype=float32)","tf.Tensor(0.99973303, shape=(), dtype=float32)"
"tf.Tensor(1.0844759, shape=(), dtype=float32)","tf.Tensor(-0.0011302388, shape=(), dtype=float32)","tf.Tensor(1.0856061, shape=(), dtype=float32)","tf.Tensor(0.9998433, shape=(), dtype=float32)"
"tf.Tensor(1.0841215, shape=(), dtype=float32)","tf.Tensor(-0.0013432468, shape=(), dtype=float32)","tf.Tensor(1.0854647, shape=(), dtype=float32)","tf.Tensor(0.99994993, shape=(), dtype=float32)"
"tf.Tensor(1.0839496, shape=(), dtype=float32)","tf.Tensor(-0.0013720837, shape=(), dtype=float32)","tf.Tensor(1.0853217, shape=(), dtype=float32)","tf.Tensor(0.99996436, shape=(), dtype=float32)"
"tf.Tensor(1.0839436, shape=(), dtype=float32)","tf.Tensor(-0.0012342874, shape=(), dtype=float32)","tf.Tensor(1.0851779, shape=(), dtype=float32)","tf.Tensor(0.99989575, shape=(), dtype=float32)"
"tf.Tensor(1.0836132, shape=(), dtype=float32)","tf.Tensor(-0.0014199393, shape=(), dtype=float32)","tf.Tensor(1.085033, shape=(), dtype=float32)","tf.Tensor(0.9999887, shape=(), dtype=float32)"
"tf.Tensor(1.0836688, shape=(), dtype=float32)","tf.Tensor(-0.0012185622, shape=(), dtype=float32)","tf.Tensor(1.0848874, shape=(), dtype=float32)","tf.Tensor(0.9998882, shape=(), dtype=float32)"
"tf.Tensor(1.0836967, shape=(), dtype=float32)","tf.Tensor(-0.0010438468, shape=(), dtype=float32)","tf.Tensor(1.0847405, shape=(), dtype=float32)","tf.Tensor(0.9998009, shape=(), dtype=float32)"
"tf.Tensor(1.0831922, shape=(), dtype=float32)","tf.Tensor(-0.0014002058, shape=(), dtype=float32)","tf.Tensor(1.0845925, shape=(), dtype=float32)","tf.Tensor(0.99997914, shape=(), dtype=float32)"
"tf.Tensor(1.0831033, shape=(), dtype=float32)","tf.Tensor(-0.0013404734, shape=(), dtype=float32)","tf.Tensor(1.0844438, shape=(), dtype=float32)","tf.Tensor(0.99994934, shape=(), dtype=float32)"
"tf.Tensor(1.0831813, shape=(), dtype=float32)","tf.Tensor(-0.0011119149, shape=(), dtype=float32)","tf.Tensor(1.0842931, shape=(), dtype=float32)","tf.Tensor(0.99983513, shape=(), dtype=float32)"
"tf.Tensor(1.083069, shape=(), dtype=float32)","tf.Tensor(-0.0010722545, shape=(), dtype=float32)","tf.Tensor(1.0841413, shape=(), dtype=float32)","tf.Tensor(0.99981564, shape=(), dtype=float32)"
"tf.Tensor(1.0826308, shape=(), dtype=float32)","tf.Tensor(-0.001357445, shape=(), dtype=float32)","tf.Tensor(1.0839882, shape=(), dtype=float32)","tf.Tensor(0.9999582, shape=(), dtype=float32)"
"tf.Tensor(1.082516, shape=(), dtype=float32)","tf.Tensor(-0.0013187523, shape=(), dtype=float32)","tf.Tensor(1.0838346, shape=(), dtype=float32)","tf.Tensor(0.999939, shape=(), dtype=float32)"
"tf.Tensor(1.082443, shape=(), dtype=float32)","tf.Tensor(-0.0012367927, shape=(), dtype=float32)","tf.Tensor(1.0836798, shape=(), dtype=float32)","tf.Tensor(0.999898, shape=(), dtype=float32)"
"tf.Tensor(1.0821246, shape=(), dtype=float32)","tf.Tensor(-0.0013987322, shape=(), dtype=float32)","tf.Tensor(1.0835233, shape=(), dtype=float32)","tf.Tensor(0.99997914, shape=(), dtype=float32)"
"tf.Tensor(1.0823078, shape=(), dtype=float32)","tf.Tensor(-0.001057881, shape=(), dtype=float32)","tf.Tensor(1.0833657, shape=(), dtype=float32)","tf.Tensor(0.99980885, shape=(), dtype=float32)"
"tf.Tensor(1.0818493, shape=(), dtype=float32)","tf.Tensor(-0.0013580046, shape=(), dtype=float32)","tf.Tensor(1.0832074, shape=(), dtype=float32)","tf.Tensor(0.999959, shape=(), dtype=float32)"
"tf.Tensor(1.0819224, shape=(), dtype=float32)","tf.Tensor(-0.0011249981, shape=(), dtype=float32)","tf.Tensor(1.0830474, shape=(), dtype=float32)","tf.Tensor(0.9998424, shape=(), dtype=float32)"
"tf.Tensor(1.0818317, shape=(), dtype=float32)","tf.Tensor(-0.0010540164, shape=(), dtype=float32)","tf.Tensor(1.0828857, shape=(), dtype=float32)","tf.Tensor(0.9998072, shape=(), dtype=float32)"
"tf.Tensor(1.0815119, shape=(), dtype=float32)","tf.Tensor(-0.0012109613, shape=(), dtype=float32)","tf.Tensor(1.0827228, shape=(), dtype=float32)","tf.Tensor(0.99988556, shape=(), dtype=float32)"
"tf.Tensor(1.0811945, shape=(), dtype=float32)","tf.Tensor(-0.0013633387, shape=(), dtype=float32)","tf.Tensor(1.0825579, shape=(), dtype=float32)","tf.Tensor(0.99996185, shape=(), dtype=float32)"
"tf.Tensor(1.081242, shape=(), dtype=float32)","tf.Tensor(-0.0011494019, shape=(), dtype=float32)","tf.Tensor(1.0823914, shape=(), dtype=float32)","tf.Tensor(0.9998548, shape=(), dtype=float32)"
"tf.Tensor(1.0810688, shape=(), dtype=float32)","tf.Tensor(-0.0011549493, shape=(), dtype=float32)","tf.Tensor(1.0822237, shape=(), dtype=float32)","tf.Tensor(0.9998578, shape=(), dtype=float32)"
"tf.Tensor(1.081139, shape=(), dtype=float32)","tf.Tensor(-0.0009153581, shape=(), dtype=float32)","tf.Tensor(1.0820544, shape=(), dtype=float32)","tf.Tensor(0.99973816, shape=(), dtype=float32)"
"tf.Tensor(1.080549, shape=(), dtype=float32)","tf.Tensor(-0.0013342557, shape=(), dtype=float32)","tf.Tensor(1.0818833, shape=(), dtype=float32)","tf.Tensor(0.99994755, shape=(), dtype=float32)"
"tf.Tensor(1.0804269, shape=(), dtype=float32)","tf.Tensor(-0.0012841737, shape=(), dtype=float32)","tf.Tensor(1.081711, shape=(), dtype=float32)","tf.Tensor(0.9999225, shape=(), dtype=float32)"
"tf.Tensor(1.0802357, shape=(), dtype=float32)","tf.Tensor(-0.0013010005, shape=(), dtype=float32)","tf.Tensor(1.0815368, shape=(), dtype=float32)","tf.Tensor(0.9999311, shape=(), dtype=float32)"
"tf.Tensor(1.0800472, shape=(), dtype=float32)","tf.Tensor(-0.0013135825, shape=(), dtype=float32)","tf.Tensor(1.0813608, shape=(), dtype=float32)","tf.Tensor(0.99993736, shape=(), dtype=float32)"
"tf.Tensor(1.0798557, shape=(), dtype=float32)","tf.Tensor(-0.001327246, shape=(), dtype=float32)","tf.Tensor(1.081183, shape=(), dtype=float32)","tf.Tensor(0.9999443, shape=(), dtype=float32)"
"tf.Tensor(1.0796846, shape=(), dtype=float32)","tf.Tensor(-0.0013181637, shape=(), dtype=float32)","tf.Tensor(1.0810028, shape=(), dtype=float32)","tf.Tensor(0.9999398, shape=(), dtype=float32)"
"tf.Tensor(1.0795108, shape=(), dtype=float32)","tf.Tensor(-0.0013097995, shape=(), dtype=float32)","tf.Tensor(1.0808206, shape=(), dtype=float32)","tf.Tensor(0.99993575, shape=(), dtype=float32)"
"tf.Tensor(1.0794827, shape=(), dtype=float32)","tf.Tensor(-0.001153353, shape=(), dtype=float32)","tf.Tensor(1.080636, shape=(), dtype=float32)","tf.Tensor(0.9998575, shape=(), dtype=float32)"
"tf.Tensor(1.0791824, shape=(), dtype=float32)","tf.Tensor(-0.0012669971, shape=(), dtype=float32)","tf.Tensor(1.0804493, shape=(), dtype=float32)","tf.Tensor(0.99991435, shape=(), dtype=float32)"
"tf.Tensor(1.0791774, shape=(), dtype=float32)","tf.Tensor(-0.0010837914, shape=(), dtype=float32)","tf.Tensor(1.0802612, shape=(), dtype=float32)","tf.Tensor(0.9998228, shape=(), dtype=float32)"
"tf.Tensor(1.0788592, shape=(), dtype=float32)","tf.Tensor(-0.0012114948, shape=(), dtype=float32)","tf.Tensor(1.0800707, shape=(), dtype=float32)","tf.Tensor(0.9998869, shape=(), dtype=float32)"
"tf.Tensor(1.0784736, shape=(), dtype=float32)","tf.Tensor(-0.0014037282, shape=(), dtype=float32)","tf.Tensor(1.0798773, shape=(), dtype=float32)","tf.Tensor(0.9999829, shape=(), dtype=float32)"
"tf.Tensor(1.078382, shape=(), dtype=float32)","tf.Tensor(-0.0013002612, shape=(), dtype=float32)","tf.Tensor(1.0796822, shape=(), dtype=float32)","tf.Tensor(0.9999312, shape=(), dtype=float32)"
"tf.Tensor(1.0785514, shape=(), dtype=float32)","tf.Tensor(-0.00093278434, shape=(), dtype=float32)","tf.Tensor(1.0794842, shape=(), dtype=float32)","tf.Tensor(0.9997475, shape=(), dtype=float32)"
"tf.Tensor(1.0780078, shape=(), dtype=float32)","tf.Tensor(-0.0012757153, shape=(), dtype=float32)","tf.Tensor(1.0792835, shape=(), dtype=float32)","tf.Tensor(0.99991894, shape=(), dtype=float32)"
"tf.Tensor(1.0776883, shape=(), dtype=float32)","tf.Tensor(-0.0013917488, shape=(), dtype=float32)","tf.Tensor(1.0790801, shape=(), dtype=float32)","tf.Tensor(0.999977, shape=(), dtype=float32)"
"tf.Tensor(1.0776682, shape=(), dtype=float32)","tf.Tensor(-0.0012057333, shape=(), dtype=float32)","tf.Tensor(1.0788739, shape=(), dtype=float32)","tf.Tensor(0.999884, shape=(), dtype=float32)"
"tf.Tensor(1.0775753, shape=(), dtype=float32)","tf.Tensor(-0.0010892046, shape=(), dtype=float32)","tf.Tensor(1.0786645, shape=(), dtype=float32)","tf.Tensor(0.99982595, shape=(), dtype=float32)"
"tf.Tensor(1.0770658, shape=(), dtype=float32)","tf.Tensor(-0.0013869657, shape=(), dtype=float32)","tf.Tensor(1.0784528, shape=(), dtype=float32)","tf.Tensor(0.9999749, shape=(), dtype=float32)"
"tf.Tensor(1.0771105, shape=(), dtype=float32)","tf.Tensor(-0.0011284293, shape=(), dtype=float32)","tf.Tensor(1.078239, shape=(), dtype=float32)","tf.Tensor(0.99984556, shape=(), dtype=float32)"
"tf.Tensor(1.0767453, shape=(), dtype=float32)","tf.Tensor(-0.0012761245, shape=(), dtype=float32)","tf.Tensor(1.0780214, shape=(), dtype=float32)","tf.Tensor(0.9999194, shape=(), dtype=float32)"
"tf.Tensor(1.076492, shape=(), dtype=float32)","tf.Tensor(-0.0013094652, shape=(), dtype=float32)","tf.Tensor(1.0778015, shape=(), dtype=float32)","tf.Tensor(0.9999361, shape=(), dtype=float32)"
"tf.Tensor(1.0764561, shape=(), dtype=float32)","tf.Tensor(-0.0011217595, shape=(), dtype=float32)","tf.Tensor(1.0775778, shape=(), dtype=float32)","tf.Tensor(0.99984235, shape=(), dtype=float32)"
"tf.Tensor(1.0760127, shape=(), dtype=float32)","tf.Tensor(-0.0013393275, shape=(), dtype=float32)","tf.Tensor(1.077352, shape=(), dtype=float32)","tf.Tensor(0.9999512, shape=(), dtype=float32)"
"tf.Tensor(1.0758761, shape=(), dtype=float32)","tf.Tensor(-0.0012460443, shape=(), dtype=float32)","tf.Tensor(1.0771222, shape=(), dtype=float32)","tf.Tensor(0.99990445, shape=(), dtype=float32)"
"tf.Tensor(1.0755177, shape=(), dtype=float32)","tf.Tensor(-0.0013713492, shape=(), dtype=float32)","tf.Tensor(1.076889, shape=(), dtype=float32)","tf.Tensor(0.9999672, shape=(), dtype=float32)"
"tf.Tensor(1.0753273, shape=(), dtype=float32)","tf.Tensor(-0.0013250192, shape=(), dtype=float32)","tf.Tensor(1.0766523, shape=(), dtype=float32)","tf.Tensor(0.9999441, shape=(), dtype=float32)"
"tf.Tensor(1.0754892, shape=(), dtype=float32)","tf.Tensor(-0.0009216867, shape=(), dtype=float32)","tf.Tensor(1.0764109, shape=(), dtype=float32)","tf.Tensor(0.9997425, shape=(), dtype=float32)"
"tf.Tensor(1.0747945, shape=(), dtype=float32)","tf.Tensor(-0.0013715788, shape=(), dtype=float32)","tf.Tensor(1.0761662, shape=(), dtype=float32)","tf.Tensor(0.99996746, shape=(), dtype=float32)"
"tf.Tensor(1.0748498, shape=(), dtype=float32)","tf.Tensor(-0.001068114, shape=(), dtype=float32)","tf.Tensor(1.075918, shape=(), dtype=float32)","tf.Tensor(0.9998157, shape=(), dtype=float32)"
"tf.Tensor(1.0745444, shape=(), dtype=float32)","tf.Tensor(-0.0011210075, shape=(), dtype=float32)","tf.Tensor(1.0756655, shape=(), dtype=float32)","tf.Tensor(0.99984217, shape=(), dtype=float32)"
"tf.Tensor(1.074122, shape=(), dtype=float32)","tf.Tensor(-0.0012875088, shape=(), dtype=float32)","tf.Tensor(1.0754094, shape=(), dtype=float32)","tf.Tensor(0.9999254, shape=(), dtype=float32)"
"tf.Tensor(1.073969, shape=(), dtype=float32)","tf.Tensor(-0.0011794756, shape=(), dtype=float32)","tf.Tensor(1.0751485, shape=(), dtype=float32)","tf.Tensor(0.99987155, shape=(), dtype=float32)"
"tf.Tensor(1.0734532, shape=(), dtype=float32)","tf.Tensor(-0.0014299152, shape=(), dtype=float32)","tf.Tensor(1.0748831, shape=(), dtype=float32)","tf.Tensor(0.9999967, shape=(), dtype=float32)"
"tf.Tensor(1.0732387, shape=(), dtype=float32)","tf.Tensor(-0.0013741122, shape=(), dtype=float32)","tf.Tensor(1.0746129, shape=(), dtype=float32)","tf.Tensor(0.9999689, shape=(), dtype=float32)"
"tf.Tensor(1.0729675, shape=(), dtype=float32)","tf.Tensor(-0.0013708663, shape=(), dtype=float32)","tf.Tensor(1.0743384, shape=(), dtype=float32)","tf.Tensor(0.9999672, shape=(), dtype=float32)"
"tf.Tensor(1.0726886, shape=(), dtype=float32)","tf.Tensor(-0.0013699116, shape=(), dtype=float32)","tf.Tensor(1.0740585, shape=(), dtype=float32)","tf.Tensor(0.9999666, shape=(), dtype=float32)"
"tf.Tensor(1.0726259, shape=(), dtype=float32)","tf.Tensor(-0.001147945, shape=(), dtype=float32)","tf.Tensor(1.0737739, shape=(), dtype=float32)","tf.Tensor(0.9998559, shape=(), dtype=float32)"
"tf.Tensor(1.0721153, shape=(), dtype=float32)","tf.Tensor(-0.0013680765, shape=(), dtype=float32)","tf.Tensor(1.0734833, shape=(), dtype=float32)","tf.Tensor(0.99996597, shape=(), dtype=float32)"
"tf.Tensor(1.0718015, shape=(), dtype=float32)","tf.Tensor(-0.0013870989, shape=(), dtype=float32)","tf.Tensor(1.0731887, shape=(), dtype=float32)","tf.Tensor(0.9999755, shape=(), dtype=float32)"
"tf.Tensor(1.0715019, shape=(), dtype=float32)","tf.Tensor(-0.0013860655, shape=(), dtype=float32)","tf.Tensor(1.0728879, shape=(), dtype=float32)","tf.Tensor(0.999975, shape=(), dtype=float32)"
