g_total,g_hinge,g_l1,d
"tf.Tensor(1.3319688, shape=(), dtype=float32)","tf.Tensor(-0.002255267, shape=(), dtype=float32)","tf.Tensor(1.3342241, shape=(), dtype=float32)","tf.Tensor(0.9999967, shape=(), dtype=float32)"
"tf.Tensor(1.3299462, shape=(), dtype=float32)","tf.Tensor(-0.0022379758, shape=(), dtype=float32)","tf.Tensor(1.3321843, shape=(), dtype=float32)","tf.Tensor(0.9999967, shape=(), dtype=float32)"
"tf.Tensor(1.3277167, shape=(), dtype=float32)","tf.Tensor(-0.0022292812, shape=(), dtype=float32)","tf.Tensor(1.329946, shape=(), dtype=float32)","tf.Tensor(0.9999967, shape=(), dtype=float32)"
"tf.Tensor(1.3252438, shape=(), dtype=float32)","tf.Tensor(-0.0022245543, shape=(), dtype=float32)","tf.Tensor(1.3274683, shape=(), dtype=float32)","tf.Tensor(0.9999966, shape=(), dtype=float32)"
"tf.Tensor(1.3224384, shape=(), dtype=float32)","tf.Tensor(-0.0022217578, shape=(), dtype=float32)","tf.Tensor(1.3246602, shape=(), dtype=float32)","tf.Tensor(0.99999654, shape=(), dtype=float32)"
"tf.Tensor(1.3191833, shape=(), dtype=float32)","tf.Tensor(-0.002219942, shape=(), dtype=float32)","tf.Tensor(1.3214033, shape=(), dtype=float32)","tf.Tensor(0.99999654, shape=(), dtype=float32)"
"tf.Tensor(1.3152753, shape=(), dtype=float32)","tf.Tensor(-0.0022186397, shape=(), dtype=float32)","tf.Tensor(1.3174939, shape=(), dtype=float32)","tf.Tensor(0.99999654, shape=(), dtype=float32)"
"tf.Tensor(1.3038051, shape=(), dtype=float32)","tf.Tensor(-0.00215654, shape=(), dtype=float32)","tf.Tensor(1.3059617, shape=(), dtype=float32)","tf.Tensor(0.99999505, shape=(), dtype=float32)"
"tf.Tensor(1.3589783, shape=(), dtype=float32)","tf.Tensor(-0.0024263589, shape=(), dtype=float32)","tf.Tensor(1.3614047, shape=(), dtype=float32)","tf.Tensor(0.99999434, shape=(), dtype=float32)"
"tf.Tensor(1.3566228, shape=(), dtype=float32)","tf.Tensor(-0.0024262364, shape=(), dtype=float32)","tf.Tensor(1.3590491, shape=(), dtype=float32)","tf.Tensor(0.9999943, shape=(), dtype=float32)"
"tf.Tensor(1.3538861, shape=(), dtype=float32)","tf.Tensor(-0.0024261028, shape=(), dtype=float32)","tf.Tensor(1.3563123, shape=(), dtype=float32)","tf.Tensor(0.9999943, shape=(), dtype=float32)"
"tf.Tensor(1.3509525, shape=(), dtype=float32)","tf.Tensor(-0.00242597, shape=(), dtype=float32)","tf.Tensor(1.3533785, shape=(), dtype=float32)","tf.Tensor(0.99999416, shape=(), dtype=float32)"
"tf.Tensor(1.3478919, shape=(), dtype=float32)","tf.Tensor(-0.0024258257, shape=(), dtype=float32)","tf.Tensor(1.3503177, shape=(), dtype=float32)","tf.Tensor(0.9999941, shape=(), dtype=float32)"
"tf.Tensor(1.3447232, shape=(), dtype=float32)","tf.Tensor(-0.0024256743, shape=(), dtype=float32)","tf.Tensor(1.3471489, shape=(), dtype=float32)","tf.Tensor(0.9999941, shape=(), dtype=float32)"
"tf.Tensor(1.3414302, shape=(), dtype=float32)","tf.Tensor(-0.002437466, shape=(), dtype=float32)","tf.Tensor(1.3438677, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)"
"tf.Tensor(1.3380469, shape=(), dtype=float32)","tf.Tensor(-0.0024253898, shape=(), dtype=float32)","tf.Tensor(1.3404723, shape=(), dtype=float32)","tf.Tensor(0.99999404, shape=(), dtype=float32)"
"tf.Tensor(1.334518, shape=(), dtype=float32)","tf.Tensor(-0.002425228, shape=(), dtype=float32)","tf.Tensor(1.3369431, shape=(), dtype=float32)","tf.Tensor(0.9999939, shape=(), dtype=float32)"
"tf.Tensor(1.3308432, shape=(), dtype=float32)","tf.Tensor(-0.002425054, shape=(), dtype=float32)","tf.Tensor(1.3332683, shape=(), dtype=float32)","tf.Tensor(0.99999386, shape=(), dtype=float32)"
"tf.Tensor(1.3270069, shape=(), dtype=float32)","tf.Tensor(-0.0024248725, shape=(), dtype=float32)","tf.Tensor(1.3294318, shape=(), dtype=float32)","tf.Tensor(0.9999938, shape=(), dtype=float32)"
"tf.Tensor(1.3229929, shape=(), dtype=float32)","tf.Tensor(-0.0024246927, shape=(), dtype=float32)","tf.Tensor(1.3254176, shape=(), dtype=float32)","tf.Tensor(0.99999374, shape=(), dtype=float32)"
"tf.Tensor(1.3187772, shape=(), dtype=float32)","tf.Tensor(-0.0024245037, shape=(), dtype=float32)","tf.Tensor(1.3212017, shape=(), dtype=float32)","tf.Tensor(0.9999936, shape=(), dtype=float32)"
"tf.Tensor(1.3143451, shape=(), dtype=float32)","tf.Tensor(-0.0024242953, shape=(), dtype=float32)","tf.Tensor(1.3167694, shape=(), dtype=float32)","tf.Tensor(0.99999356, shape=(), dtype=float32)"
"tf.Tensor(1.3096724, shape=(), dtype=float32)","tf.Tensor(-0.0024240967, shape=(), dtype=float32)","tf.Tensor(1.3120965, shape=(), dtype=float32)","tf.Tensor(0.9999935, shape=(), dtype=float32)"
"tf.Tensor(1.3047363, shape=(), dtype=float32)","tf.Tensor(-0.002434315, shape=(), dtype=float32)","tf.Tensor(1.3071706, shape=(), dtype=float32)","tf.Tensor(0.99999857, shape=(), dtype=float32)"
